contracts,payment_method,avg_area_act,avg_area_all,avg_area_cyc,avg_act_length,ratio_active,max_active,max_area,age,label
1,Type.DIRECT_DEBIT,0,0,0,0,0,0,0,52,Label.AVERAGE
1,Type.DIRECT_DEBIT,1.0,0.01824817518248175,1.25,1.25,0.01824817518248175,1.0,2.0,27,Label.AVERAGE
1,Type.DIRECT_DEBIT,1.0,0.014598540145985401,1.0,1.0,0.014598540145985401,1.0,1.0,27,Label.AVERAGE
1,Type.DIRECT_DEBIT,1.0,0.014652014652014652,1.3333333333333333,1.3333333333333333,0.014652014652014652,1.0,2.0,27,Label.AVERAGE
1,Type.DIRECT_DEBIT,1.0,0.01090909090909091,1.0,1.0,0.01090909090909091,1.0,1.0,27,Label.AVERAGE
1,Type.DIRECT_DEBIT,0,0,0,0,0,0,0,68,Label.GOOD
1,Type.DIRECT_DEBIT,0,0,0,0,0,0,0,68,Label.GOOD
1,Type.DIRECT_DEBIT,0,0,0,0,0,0,0,68,Label.GOOD
1,Type.DIRECT_DEBIT,0,0,0,0,0,0,0,68,Label.GOOD
1,Type.DIRECT_DEBIT,0.9800000000000001,0.03576642335766424,4.9,5.0,0.0364963503649635,1.0,6.0,36,Label.BAD
1,Type.DIRECT_DEBIT,0.5873239436619719,0.15218978102189784,4.633333333333335,7.888888888888889,0.2591240875912409,0.9,8.5,36,Label.BAD
1,Type.DIRECT_DEBIT,0.3055555555555556,0.040293040293040296,3.6666666666666665,12.0,0.13186813186813187,1.25,10.25,36,Label.BAD
1,Type.DIRECT_DEBIT,0,0,0,0,0,0,0,62,Label.GOOD
1,Type.DIRECT_DEBIT,0,0,0,0,0,0,0,32,Label.GOOD
1,Type.DIRECT_DEBIT,0,0,0,0,0,0,0,32,Label.GOOD
1,Type.DIRECT_DEBIT,0,0,0,0,0,0,0,32,Label.GOOD
1,Type.BANK_TRANSFER,0,0,0,0,0,0,0,35,Label.GOOD
1,Type.BANK_TRANSFER,0,0,0,0,0,0,0,35,Label.GOOD
1,Type.BANK_TRANSFER,0,0,0,0,0,0,0,35,Label.GOOD
1,Type.BANK_TRANSFER,0,0,0,0,0,0,0,35,Label.GOOD
1,Type.DIRECT_DEBIT,0,0,0,0,0,0,0,52,Label.GOOD
1,Type.DIRECT_DEBIT,0,0,0,0,0,0,0,52,Label.GOOD
1,Type.DIRECT_DEBIT,0,0,0,0,0,0,0,52,Label.GOOD
1,Type.DIRECT_DEBIT,0,0,0,0,0,0,0,52,Label.GOOD
2,Type.DIRECT_DEBIT,0,0,0,0,0,0,0,30,Label.AVERAGE
2,Type.DIRECT_DEBIT,0,0,0,0,0,0,0,30,Label.AVERAGE
2,Type.DIRECT_DEBIT,1.0,0.043795620437956206,12.0,12.0,0.043795620437956206,1.0,12.0,30,Label.AVERAGE
1,Type.DIRECT_DEBIT,0.9230769230769232,0.13138686131386865,6.000000000000001,6.5,0.14233576642335766,1.0,27.0,61,Label.BAD
1,Type.DIRECT_DEBIT,0.3376543209876543,0.09981751824817517,3.4187499999999997,10.125,0.2956204379562044,0.7,11.899999999999999,61,Label.BAD
1,Type.DIRECT_DEBIT,0,0,0,0,0,0,0,61,Label.BAD
1,Type.DIRECT_DEBIT,0,0,0,0,0,0,0,61,Label.BAD
1,Type.DIRECT_DEBIT,0,0,0,0,0,0,0,38,Label.GOOD
